id;namespace_id;namespace_name;role_name;original_name;repository_id;repository_name;repository_original_name;provider_namespace_id;provider_name;provider_display_name;repository__provider__namespace__name
1783;5618;wybczu;oracle_jdk;oracle_jdk;73341;oracle_jdk;ansible_oracle_jdk;5618;wybczu;;wybczu
21042;136;Bessonov;docker-remote-api;docker-remote-api;51064;docker-remote-api;ansible-role-docker-remote-api;134;Bessonov;Anton Bessonov;Bessonov
6440;4089;mingraham;win_import_pfx_cert;win_import_pfx_cert;73375;win_import_pfx_cert;win_import_pfx_cert;4050;mingraham;Michael Ingraham;mingraham
3289;3632;kbrebanov;selinux;selinux;24949;selinux;ansible-selinux;3600;kbrebanov;Kevin Brebanov;kbrebanov
5603;6071;elao;vsftpd;vsftpd;33380;vsftpd;ansible-role-vsftpd;1291;ElaoInfra;Elao - Infra;ElaoInfra
2461;6117;KrunoKnego;SymfonyBox;SymfonyBox;60153;SymfonyBox;SymfonyBox;4113;locastic;;locastic
8124;1780;mamercad;sensu-client;sensu-client;29205;sensu-client;ansible-sensu-client;1764;mamercad;Mark Mercado;mamercad
2500;5152;vozerov;users;users;73427;users;ansible-users;5152;vozerov;;vozerov
7588;1807;stevenharradine;ntp;ntp;26609;ntp;ansible-ntp;1791;stevenharradine;Steven Harradine;stevenharradine
298;6183;joshualund;ufw;ufw;73443;ufw;ansible-ufw;2864;jlund;Joshua Lund;jlund
1824;3786;MaximeThoonsen;automysqlbackup;automysqlbackup;40979;automysqlbackup;ansible-automysqlbackup-role;3751;MaximeThoonsen;Thoonsen Maxime;MaximeThoonsen
1464;5510;hnakamur;osx-go;osx-go;73475;osx-go;ansible-role-osx-go;5510;hnakamur;;hnakamur
4787;1459;noqcks;s3-website;s3-website;29628;s3-website;ansible-s3-website;1445;noqcks;Ben Visser;noqcks
3637;913;telusdigital;go;go;73479;go;ansible-go;5926;telus;TELUS Telecommunications;telus
2995;5998;stark;autoupdate;autoupdate;38969;autoupdate;ansible-role-autoupdate;5191;starkers;;starkers
22351;1274;stuvusIT;nginx;nginx;51010;nginx;nginx;1261;stuvusIT;stuvus;stuvusIT
2312;178;cmacrae;sabnzbd;sabnzbd;25431;sabnzbd;ansible-sabnzbd;176;cmacrae;Calum MacRae;cmacrae
5123;1023;nickdtodd;system-limits;system-limits;73518;system-limits;ansible-system-limits;1014;nickdtodd;Nick Todd;nickdtodd
5589;6071;elao;bind;bind;33313;bind;ansible-role-bind;1291;ElaoInfra;Elao - Infra;ElaoInfra
1243;5837;bakhti;elk;elk;73515;elk;ansible-elk;5837;bakhti;;bakhti
316;4396;johnhamelink;Kibana;Kibana;73534;Kibana;ansible-kibana;4396;johnhamelink;;johnhamelink
904;5708;f-s-v;railsbox-nginx-upstream-rails-application;railsbox-nginx-upstream-rails-application;32088;railsbox-nginx-upstream-rails-application;railsbox-nginx-upstream-rails-application;5708;f-s-v;;f-s-v
6755;1520;JHeimbach;apache_envvars;apache_envvars;73532;apache_envvars;ansible-role-apache_envvars;4341;jheimbach;;jheimbach
20278;57;softasap;sa-uwsgi-container;sa-uwsgi-container;57235;sa-uwsgi-container;sa-uwsgi-container;57;softasap;;softasap
4182;5709;palkan;ffmpeg;ffmpeg;51071;ffmpeg;ffmpeg;682;palkan-ansible;;palkan-ansible
23369;2224;mjcramer;spark-worker;spark-worker;54664;ansible-role-spark-worker;ansible-role-spark-worker;2205;mjcramer;Michael Cramer;mjcramer
279;4957;Mayeu;sensu;sensu;73548;sensu;ansible-playbook-sensu;4957;Mayeu;;Mayeu
20451;2388;Lusitaniae;linux-desktop-ansible;linux-desktop-ansible;73554;linux-desktop-ansible;linux-desktop-ansible;2367;Lusitaniae;Pedro Gomes;Lusitaniae
16757;1392;ChristopherDavenport;ansible-role-nginx;ansible-role-nginx;47381;ansible-role-nginx;ansible-role-nginx;1376;ChristopherDavenport;Christopher Davenport;ChristopherDavenport
19678;1470;AerisCloud;librato;librato;49221;librato;ansible-librato;1456;AerisCloud;AerisCloud;AerisCloud
4740;6012;csidiropoulos;cuckoo;cuckoo;39100;cuckoo;ansible-cuckoo;1331;ezeteze;Chris Sidiropoulos;ezeteze
972;3097;marklee77;mailserver;mailserver;73572;mailserver;ansible-role-mailserver;3071;marklee77;Mark Stillwell;marklee77
9131;3680;fogartyp;packer-rhel-master;packer-rhel-master;27589;packer-rhel-master;ansible-role-packer-rhel;3646;fogartyp;;fogartyp
26569;2799;eric-mathison;ansible-role-mariadb;ansible-role-mariadb;60229;ansible-role-mariadb;ansible-role-mariadb;2776;eric-mathison;Eric Mathison;eric-mathison
2917;4350;garbagetown;cdh5_yarn_pseudo;cdh5_yarn_pseudo;73590;cdh5_yarn_pseudo;cdh5_yarn_pseudo;4350;garbagetown;;garbagetown
4393;5443;bastly;aws_cli;aws_cli;73592;aws_cli;ansible_aws_cli;5443;bastly;;bastly
10394;3019;andyceo;users;users;33591;users;ansible-role-users;2993;andyceo;andyceo;andyceo
523;6186;Rackspace_Automation;redis;redis;60189;redis;redis;958;rack-roles;DEPRECATED Ansible roles.;rack-roles
1470;5510;hnakamur;osx-login-shell;osx-login-shell;73594;osx-login-shell;ansible-role-osx-login-shell;5510;hnakamur;;hnakamur
2404;4572;GielDeBleser;Ansible-Jenkins-Maven;Ansible-Jenkins-Maven;73603;Ansible-Jenkins-Maven;Ansible-Jenkins-Maven;4572;GielDeBleser;;GielDeBleser
3768;4011;olibob;nodejs;nodejs;73604;nodejs;ansible-nodejs;3975;olibob;Olivier Robert;olibob
2849;4697;denkhaus;virtualbox;virtualbox;60190;virtualbox;ansible-virtualbox;4697;denkhaus;;denkhaus
940;6124;vespian;apache2_base;apache2_base;60197;apache2_base;apache2_base;5888;brainly;;brainly
7119;4944;malgaudreault;deploy_jupyterhub;deploy_jupyterhub;60592;deploy_jupyterhub;deploy_jupyterhub;4944;malgaudreault;;malgaudreault
2732;6035;alban.andrieu;visualvm;visualvm;29160;visualvm;ansible-visualvm;3218;AlbanAndrieu;AlbanAndrieu;AlbanAndrieu
6668;1593;Ilyes512;base;base;73670;base;ansible-role-base;4399;ilyes512;;ilyes512
2730;6030;williamyeh;init-installer;init-installer;25385;init-installer;ansible-init-installer;1934;William-Yeh;William Yeh;William-Yeh
4167;3724;Jberlinsky;php-fpm;php-fpm;73671;php-fpm;ansible-php-fpm;3689;Jberlinsky;Jason Berlinsky;Jberlinsky
893;5708;f-s-v;railsbox-bower-runtime;railsbox-bower-runtime;32083;railsbox-bower-runtime;railsbox-bower-runtime;5708;f-s-v;;f-s-v
450;5561;nimajalali;rethinkdb;rethinkdb;60200;ansible-rethinkdb;ansible-rethinkdb;5561;nimajalali;;nimajalali
3291;3632;kbrebanov;dkms;dkms;24871;dkms;ansible-dkms;3600;kbrebanov;Kevin Brebanov;kbrebanov
4789;4014;MFGN;bootstrap-ubuntu;bootstrap-ubuntu;60646;bootstrap-ubuntu;bootstrap-ubuntu;3978;MFGN;;MFGN
1096;5477;commandsy;commandsy-cli;commandsy-cli;60648;commandsy-ansible-cli;commandsy-ansible-cli;5477;commandsy;;commandsy
915;4696;alexanderjardim;solr;solr;37230;solr;solr;4696;alexanderjardim;;alexanderjardim
584;5910;ravibhure;lighttpd;lighttpd;73689;lighttpd;ansible-lighttpd;5910;ravibhure;;ravibhure
10177;5804;mrda;openstack-ansible-os_ironic;openstack-ansible-os_ironic;60714;openstack-ansible-ironic;openstack-ansible-ironic;5804;mrda;;mrda
23068;2756;florianutz;travis-testing;travis-testing;73712;travis-testing;travis-testing;2731;florianutz;Florian Utz;florianutz
3122;5112;lerencao;java-role;java-role;73725;java-role;ansible-java-role;5112;lerencao;;lerencao
4711;1807;stevenharradine;1;1;26621;1;ansible-role1;1791;stevenharradine;Steven Harradine;stevenharradine
